dataset_origin	title	description	description_length
figshare	Aggregation of Asphaltene Subfractions A1 and A2 in Different Solvents from the Perspective of Molecular Dynamics Simulations	The aggregation behavior of model molecules of asphaltene subfractions A1 and A2 dissolved in heptane, toluene, and tetrahydrofuran (THF) were studied using molecular dynamics simulations. The proposed asphaltene molecular models are based on previously studied structures with two new models, including a highly aromatic model with a prominent island-type molecule and another molecule with a prominent archipelago-type architecture. The aggregation mechanisms in toluene, THF, and heptane solvents were studied. The results in heptane and toluene were consistent with the solubility of asphaltenes and their subfractions in these solvents. The size of the aggregates is well-correlated with aromaticity. When considering THF, large aggregates are broken down into smaller aggregates. This could lead to the mixture of high, medium, and low molecular weight distribution bands usually observed when gel permeation chromatography (GPC) analyses are conducted on asphaltene samples in THF. The size distribution extracted from the simulations shows a bimodal distribution with profiles similar to the size distribution profiles usually found in GPC analysis for asphaltene samples in THF. The distributions of dipole moments of the aggregates against the number of molecules in aggregates were constructed in both THF and toluene and reveal that the dipole moment of the aggregates vanishes when the number of molecules increases as a result of a random structure of the aggregates. The contributions of different molecular interactions to the aggregation mechanism, such as π stacking, van der Waals, and hydrogen bonds, are described.	1760.0
figshare	Atomic Mechanisms of Transthyretin Tetramer Dissociation Studied by Molecular Dynamics Simulations	The dissociation of the transthyretin (TTR) tetramer into a monomer is closely related to various TTR amyloidoses in humans. While the tetramer dissociation has been reported to be the rate-limiting step for TTR aggregation, few details are known about the mechanism. Here, molecular dynamics (MD) simulations were performed by combining conventional MD and biased metadynamics to investigate the mechanism for the wild-type (WT) and mutant (T119M) structures. Both were found to have a great deal in common. Conventional MD simulations reveal that interfacial hydrophobic interactions contribute significantly to stabilize the tetramer. Interfacial residues including L17, V20, L110, and V121 with close contacts form a hydrophobic channel. Metadynamics simulations indicate that the mouth opening of the hydrophobic channel is the first and the most difficult step for dissociation. Interactions of V20 between opposing dimers lock four monomers into the tetramer, and disruption of the interactions is found to be involved in the final step. During the dissociation, an increasing extent of solvation was observed by calculating the radial distribution functions of water around interfacial hydrophobic residues, suggesting that water plays a role in driving the tetramer dissociation. Moreover, compared to T119, residue M119 has a longer side chain that extends into the hydrophobic channel, making solvation more difficult, consistent with a higher energy barrier for dissociation of the T119M tetramer. This result provides a good explanation for the protective role of the T119M mutation. Overall, this study can provide atomic-level insights to better understand the pathogenesis of TTR amyloidosis and guide rational drug design in the future.	1851.0
figshare	Charge Environment and Hydrogen Bond Dynamics in Binary Ionic Liquid Mixtures: A Computational Study	The extent of charge transfer between the cation and the anion in a room-temperature ionic liquid depends on the basicity of the anion. Ion charges determined in the condensed state via density functional theory calculations capture this effect rather well, and charges derived in such a manner have been employed in force field-based molecular dynamics simulations to quantitatively reproduce several physical properties of the liquids. However, the issue of transferability of cation charges in mixtures of ionic liquids, say with one type of cation and two different anion types needs to be addressed. Herein, we demonstrate that the cation charge in such a mixture varies linearly with anion composition, a result that ties in rather well with X-ray photoelectron spectroscopic experiments. The variation in cation charge with bulk anion composition is shown to be a result of changes in its coordination environment. Cations surrounded by a higher proportion of more basic anions possess lower charges than those surrounded by less basic anions. Time scales for the exchange of anion types for the occupation of hydrogen bonding sites around the cation have been determined and are seen to be constituted by three processes–breakage of existing hydrogen bond, diffusion to the hydrogen bonding site and displacement of the incumbent anion from its site in the cation coordination shell. These time scales explain the differences observed between infrared and NMR spectroscopic experiments in ionic liquid mixtures rather well.	1631.0
figshare	Molecular Dynamics Simulation of the n‑Octacosane–Water Mixture Confined in Graphene Mesopores: Comparison of Atomistic and Coarse-Grained Calculations and the Effect of Catalyst Nanoparticle	Fischer–Tropsch synthesis (FTS) is used extensively in the gas-to-liquids (GTL) process to produce clean, high-quality low emission transportation fuels from synthesis gas. In order to gain a better understanding of the phase behavior of the produced wax–water mixtures at reaction conditions by accounting for confinement effects of either hydrophilic or hydrophobic characteristics and catalyst nanoparticles (NPs), one needs to closely examine the validity of incorporating coarse grained approaches in the context of FTS. The present study focuses on simulating by means of atomistic (AA) and coarse-grained (CG) molecular dynamics (MD; CGMD) simulations the n-octacosane (n-C28)–water mixture inside graphene (G) and graphene oxide (GO) mesopores under low-temperature FTS conditions (473.15 K) with the inclusion of a Co NP. Graphene derivatives were selected as they are emerging catalyst support materials in the FTS reaction and allow for direct comparisons between the AA and CG methodologies. We also evaluated the presence of long-chain alcohols such as dodecan-1-ol at 7 wt % on the n-C28–H2O mixture phase behavior. The AA simulations involved the use of the united atom TraPPE (TraPPE-UA) force field for n-C28 and the alcohols and the TIP4P/2005 force field for water, while the MARTINI force field was used for the CG description. With regard to the mixtures inside the G pore, both AA and CG simulation methods capture the phase separation of the mixture, with water molecules occupying the center of the pore and n-C28 forming layers at the pore walls; inside GO, both methodologies show that water separates near the surface and the model wax lies at the pore center. Both AA and CG simulations accurately capture the n-C28 and H2O diffusivity as a function of the distance from the G and GO pore centers, respectively, being lower closer to the pore surface. Dodecan-1-ol is mostly located at the n-C28–H2O interface showing a higher preference toward the wax as a consequence of increased van der Waals intermolecular interactions, slightly reducing the mobility of water. The agreement between AA and CG MD simulations paved the way for novel CGMD simulations with DFT-derived parameters for Co, to study the n-C28–H2O behavior in its presence. Our results show that the Co NP does not affect phase separation of the n-C28–H2O mixture inside the pores; however, water at such high concentrations covers the Co NP surface extensively. Given the experimental difficulties in exploring the relevant mechanisms at this scale, our results showcase that CGMD using the MARTINI force field can be employed to study FTS-related processes at this level and are expected to open new pathways in the investigation of confined mixtures relevant to the FTS reaction in the presence of supported catalyst NPs.	3009.0
figshare	Divalent Ion Parameterization Strongly Affects Conformation and Interactions of an Anionic Biomimetic Polymer	The description of peptides and the use of molecular dynamics simulations to refine structures and investigate the dynamics on an atomistic scale are well developed. Through a consensus in this community over multiple decades, parameters were developed for molecular interactions that only require the sequence of amino-acids and an initial guess for the three-dimensional structure. The recent discovery of peptoids will require a retooling of the currently available interaction potentials in order to have the same level of confidence in the predicted structures and pathways as there is presently in the peptide counterparts. Here we present modeling of peptoids using a combination of ab initio molecular dynamics (AIMD) and atomistic resolution classical force field (FF) to span the relevant time and length scales. To properly account for the dominant forces that stabilize ordered structures of peptoids, namely steric-, electrostatic, and hydrophobic interactions mediated through side chain–side chain interactions in the FF model, those have to be first mapped out using high fidelity atomistic representations. A key feature here is not only to use gas phase quantum chemistry tools, but also account for solvation effects in the condensed phase through AIMD. One major challenge is to elucidate ion binding to charged or polar regions of the peptoid and its concomitant role in the creation of local order. Here, similar to proteins, a specific ion effect is observed suggesting that both the net charge and the precise chemical nature of the ion will need to be described.	1696.0
figshare	Investigation of a Pathway for Water Delivery in Photosystem II Protein by Molecular Dynamics Simulation	To understand the mechanism of the water-splitting reaction in photosynthesis, the dynamics of water molecules surrounding the oxygen evolution center (OEC) involving the Mn4O5Ca cluster in photosystem II (PSII) is investigated using molecular dynamics (MD) simulation. During the simulation, the surrounding interspace around the Mn4O5Ca cluster was filled with numerous water molecules. The traffic of water molecules in the bidirectional pathway between the Mn4O5Ca cluster and outside of PSII is investigated by analyzing MD trajectories. The result of this simulation suggests that water delivery to the Mn4O5Ca cluster in PSII is driven by self-diffusion of water molecules coupled with the synchronized motion of the residues surrounding the Mn4O5Ca cluster. By tracing these water molecules, we find that the water molecules predominantly take five water pathways to enter into and leave from PSII. In these pathways, the water molecules move being strongly affected by the structure and dynamics of PSII. Nevertheless, the directions of each water molecule in these pathways are nearly random. In contrast, the principal component analysis for Cα atoms in the PSII complex revealed that the residues surrounding the OEC showed the collective and continuing motion. In an attempt to assess the validity, the MD simulation of the D1-D61A mutant is performed, comparing the distribution of water molecules near the Mn4O5Ca cluster. The results show that the change in the water distribution by the D1-D61A mutant is responsible for the experimentally observed decrease in the activLity of PSII. The details of the pathways for water delivery provide important information about the water-splitting reaction.	1817.0
figshare	Molecular Simulations of CO2 and H2 Solubility, CO2 Diffusivity, and Solvent Viscosity at 298 K for 27 Commercially Available Physical Solvents	CO2 and H2 solubilities, CO2/H2 solubility selectivities, CO2 diffusivities, and solvent viscosities in 27 commercially available physical solvents at 298 K were calculated from molecular simulations using the CHARMM36 all-atom force field for most solvents, and the simulation results were compared with available experimental data. The van der Waals radius parameters for solvents were slightly tuned to reproduce the experimental solvent density. The simulated CO2 solubilities are comparable with the experimental data, with an average absolute difference of 28%. For the homologous compounds containing the −(OCH2CH2)– repeat unit, both simulated and experimental data show that CO2 solubility decreases when the number of repeat units is increased; CO2 solubilities in these homologous compounds exhibit almost a perfect positive linear correlation with the solvent free-volume fractions. The simulated H2 solubilities and CO2/H2 solubility selectivities are also comparable with the experimental data, with differences of 22% and 17%, respectively. The H2 solubilities in all solvents studied in this work correlate very well with the solvent free-volume fractions, exhibiting a positive linear correlation coefficient of 0.84. Additionally, simulations show that CO2 solubility decreases when the temperature is increased. In contrast, H2 solubility increases at elevated temperature, which is partly due to the increased solvent free-volume fraction at elevated temperature. Finally, although the viscosity difference tends to be large (30%–246%) between simulation and experiment, both simulated and experimental data exhibit a similar solvent viscosity trend. Furthermore, simulations show that CO2 diffusivities in solvents are very strongly correlated with the solvent viscosities and the relationship between them is given by DCO2 = (2.6 ± 0.3) × 10–9/ηsolvent0.59 ± 0.03.	2029.0
figshare	Molecular Simulations of CO2 and H2 Solubility, CO2 Diffusivity, and Solvent Viscosity at 298 K for 27 Commercially Available Physical Solvents	CO2 and H2 solubilities, CO2/H2 solubility selectivities, CO2 diffusivities, and solvent viscosities in 27 commercially available physical solvents at 298 K were calculated from molecular simulations using the CHARMM36 all-atom force field for most solvents, and the simulation results were compared with available experimental data. The van der Waals radius parameters for solvents were slightly tuned to reproduce the experimental solvent density. The simulated CO2 solubilities are comparable with the experimental data, with an average absolute difference of 28%. For the homologous compounds containing the −(OCH2CH2)– repeat unit, both simulated and experimental data show that CO2 solubility decreases when the number of repeat units is increased; CO2 solubilities in these homologous compounds exhibit almost a perfect positive linear correlation with the solvent free-volume fractions. The simulated H2 solubilities and CO2/H2 solubility selectivities are also comparable with the experimental data, with differences of 22% and 17%, respectively. The H2 solubilities in all solvents studied in this work correlate very well with the solvent free-volume fractions, exhibiting a positive linear correlation coefficient of 0.84. Additionally, simulations show that CO2 solubility decreases when the temperature is increased. In contrast, H2 solubility increases at elevated temperature, which is partly due to the increased solvent free-volume fraction at elevated temperature. Finally, although the viscosity difference tends to be large (30%–246%) between simulation and experiment, both simulated and experimental data exhibit a similar solvent viscosity trend. Furthermore, simulations show that CO2 diffusivities in solvents are very strongly correlated with the solvent viscosities and the relationship between them is given by DCO2 = (2.6 ± 0.3) × 10–9/ηsolvent0.59 ± 0.03.	2029.0
figshare	Patterning of Self-Assembled Monolayers of Amphiphilic Multisegment Ligands on Nanoparticles and Design Parameters for Protein Interactions	Functionalization of nanoparticles with specific ligands is helpful to control specific diagnostic and therapeutic responses such as protein adsorption, cell targeting, and circulation. Precision delivery critically depends on a fundamental understanding of the interplay between surface chemistry, ligand dynamics, and interaction with the biochemical environment. Due to limited atomic-scale insights into the structure and dynamics of nanoparticle-bound ligands from experiments, relationships of grafting density and ligand chemistry to observable properties such as hydrophilicity and protein interactions remain largely unknown. In this work, we uncover how self-assembled monolayers (SAMs) composed of multisegment ligands such as thioalkyl-PEG-(N-alkyl)­amides on gold nanoparticles can mimic mixed hydrophobic and hydrophilic ligand coatings, including control of patterns, hydrophilicity, and specific recognition properties. Our results are derived from molecular dynamics simulations with the INTERFACE-CHARMM36 force field at picometer resolution and comparisons to experiments. Small changes in ligand hydrophobicity, via adjusting the length of the N-terminal alkyl groups, tune water penetration by multiples and control superficial ordering of alkyl chains from 0 to 70% regularity. Further parameters include the grafting density of the ligands, curvature of the nanoparticle surfaces, type of solvent, and overall ligand length, which were examined in detail. We explain the thermodynamic origin of the formation of heterogeneous patterns of multisegment ligand SAMs and illustrate how different degrees of ligand order on the nanoparticle surface affect interactions with bovine serum albumin. The resulting design principles can be applied to a variety of ligand chemistries to customize the behavior of functionalized nanoparticles in biological media and enhance therapeutic efficiency.	2048.0
figshare	Conserved Water Networks Identification for Drug Design Using Density Clustering Approaches on Positional and Orientational Data	This work describes the development and testing of a method for the identification and classification of conserved water molecules and their networks from molecular dynamics (MD) simulations. The conserved waters in the active sites of proteins influence protein–ligand binding. Recently, several groups have argued that a water network formed from conserved waters can be used to interpret the thermodynamic signature of the binding site. We implemented a novel methodology in which we apply the complex approach to categorize water molecules extracted from the MD simulation trajectories using clustering approaches. The main advantage of our methodology as compared to current state of the art approaches is the inclusion of the information on the orientation of hydrogen atoms to further inform the clustering algorithm and to classify the conserved waters into different subtypes depending on how strongly certain orientations are preferred. This information is vital for assessing the stability of water networks. The newly developed approach is described in detail as well as validated against known results from the scientific literature including comparisons with the experimental data on thermolysin, thrombin, and Haemophilus influenzae virulence protein SiaP as well as with the previous computational results on thermolysin. We observed excellent agreement with the literature and were also able to provide additional insights into the orientations of the conserved water molecules, highlighting the key interactions which stabilize them. The source code of our approach, as well as the utility tools used for visualization, are freely available on GitHub.	1797.0
figshare	Accuracy Comparison of Generalized Born Models in the Calculation of Electrostatic Binding Free Energies	The need for accurate yet efficient representation of the aqueous environment in biomolecular modeling has led to the development of a variety of generalized Born (GB) implicit solvent models. While many studies have focused on the accuracy of available GB models in predicting solvation free energies, a systematic assessment of the quality of these models in binding free energy calculations, crucial for rational drug design, has not been undertaken. Here, we evaluate the accuracies of eight common GB flavors (GB-HCT, GB-OBC, GB-neck2, GBNSR6, GBSW, GBMV1, GBMV2, and GBMV3), available in major molecular dynamics packages, in predicting the electrostatic binding free energies (ΔΔGel) for a diverse set of 60 biomolecular complexes belonging to four main classes: protein–protein, protein-drug, RNA-peptide, and small complexes. The GB flavors are examined in terms of their ability to reproduce the results from the Poisson–Boltzmann (PB) model, commonly used as accuracy reference in this context. We show that the agreement with the PB of ΔΔGel estimates varies widely between different GB models and also across different types of biomolecular complexes, with R2 correlations ranging from 0.3772 to 0.9986. A surface-based “R6” GB model recently implemented in AMBER shows the closest overall agreement with reference PB (R2 = 0.9949, RMSD = 8.75 kcal/mol). The RNA-peptide and protein-drug complex sets appear to be most challenging for all but one model, as indicated by the large deviations from the PB in ΔΔGel. Small neutral complexes present the least challenge for most of the GB models tested. The quantitative demonstration of the strengths and weaknesses of the GB models across the diverse complex types provided here can be used as a guide for practical computations and future development efforts.	1924.0
figshare	The Protein’s Role in Substrate Positioning and Reactivity for Biosynthetic Enzyme Complexes: The Case of SyrB2/SyrB1	Biosynthetic enzyme complexes selectively catalyze challenging chemical transformations, including alkane functionalization (e.g., halogenation of threonine, Thr, by the non-heme iron halogenase SyrB2). However, the role of complex formation in enabling reactivity and guiding selectivity is poorly understood, owing to the challenges associated with obtaining detailed structural information on the dynamically associating protein complexes. Combining over 10 μs of classical molecular dynamics of SyrB2 and the acyl carrier protein SyrB1 with large-scale QM/MM simulation, we investigate the substrate–protein and protein–protein dynamics that give rise to experimentally observed substrate positioning and reactivity trends. We confirm the presence of a hypothesized substrate-delivery channel in SyrB2 through free energy simulations that show channel opening with a low free energy barrier. We identify stabilizing interactions at the SyrB2/SyrB1 interface that are compatible with phosphopantetheine (PPant) delivery of substrate to SyrB2. By sampling metal–substrate distances observed in experimental spectroscopy of native SyrB2/SyrB1-PPant-S-Thr and non-native substrates, we characterize essential protein–substrate interactions that are responsible for substrate positioning, and thus, reactivity. We observe the hydroxyl side chain and terminal amine of the native Thr substrate to form cooperative hydrogen bonds with a single N123 residue in SyrB2. In comparison, non-native substrates that lack the hydroxyl interact more flexibly with the protein and therefore can orient closer to the Fe center, explaining their preferential hydroxylation.	1775.0
figshare	Atomistic Simulations of the Mechanisms of the Poorly Catalytic Mitochondrial Chaperone Trap1: Insights into the Effects of Structural Asymmetry on Reactivity	The mitochondrial chaperone Trap1 is an ATPase protein that oversees the correct folding of client proteins and exhibits altered activity and/or expression levels in certain cancers. By inducing extensive structural rearrangements, ATP cleavage is essential for Trap1 to fulfill its task; at the same time, Trap1’s sluggish ATP turnover represents one of the control switches through which its conformational cycle and inter-residue cross-talk signals mediating it can be subtly tuned. Remarkably, hydrolysis requires Trap1 to adopt a distinctive asymmetric “closed” homodimeric conformation wherein the ATP bound to the “buckled” protomer (Buc) is preferentially cleaved, while hydrolysis in the “straight” protomer (Str) remains unfavored. However, molecular links between asymmetry and Trap1’s characteristic reactivity remain elusive, due to intrinsic mechanistic complexity and its protomers’ active site similarity. To address this issue, we herein report a detailed computational investigation of Trap1’s potential ATPase mechanisms. Through classical molecular dynamics (MD) simulations we monitor how frequently ATP and nucleophilic water WatNuc can attain reactive poses within Buc and Str. Semiempirical hybrid quantum mechanical–molecular mechanical (QM/MM) MD simulations coupled to umbrella sampling and benchmarked with density functional theory calculations are then used to sample reaction free energy barriers within each protomer for two possible hydrolytic pathways. Enzyme-assisted hydrolysis, featuring a metaphosphate-like transition state and a catalytic glutamate deprotonating WatNuc, is found to be favored in both protomers over substrate-assisted hydrolysis. However, we also find that WatNuc’s sequestration by another water molecule WatTyr bound to a vicinal tyrosine is far rarer in Buc, proving that such a rare sequestration lowers reaction barriers for the enzyme-assisted pathway. We thus identify the (biologically significant) tyrosine as the main mediator favoring ATP hydrolysis in Buc over Str. Our improved model for Trap1 reactivity is experimentally and structurally consistent and should further aid in the development of selective modulators of the protein’s activities.	2374.0
figshare	Molecular modelling of HPV E6 protein reveal new potential inhibitors against high-risk Human Papillomavirus: Supporting Information	Abstract: High-risk strains of human papillomavirus (HPV) have been identified as the etiologic agent of some anogenital tract, head, and neck cancers. Although prophylactic HPV vaccines have been approved; it is still necessary a drug-based treatment against the infection and its oncogenic effects. The E6 oncoprotein is one of the most studied therapeutic targets of HPV, it has been identified as a key factor in cell immortalization and tumor progression in HPV-positive cells. E6 can promote the degradation of p53, a tumor suppressor protein, through the interaction with the cellular ubiquitin ligase E6AP. Therefore, preventing the formation of the E6-E6AP complex is one of the main strategies to inhibit the viability and proliferation of infected cells. Herein, we propose an in silico pipeline to identify small-molecule inhibitors of the E6-E6AP interaction. Virtual screening was carried out by predicting the ADME properties of the molecules and performing ensemble-based docking simulations to E6 protein followed by binding free energy estimation through MM/PB(GB)SA methods. Finally, the top-three compounds were selected, and their stability in the E6 docked complex and their effect in the inhibition of the E6-E6AP interaction was corroborated by molecular dynamics simulation. Therefore, this pipeline and the identified molecules represent a new starting point in the development of anti-HPV drugs.This fileset contains raw data from molecular dynamics simulations of HPV-16 E6 protein, including initial files and backbone trajectories. Also includes the initial compound library, ADME properties predictions, molecular docking results and hit compounds in mol2 format.	1826.0
figshare	Taming Rugged Free Energy Landscapes Using an Average Force	ConspectusThe observation of complex structural transitions in biological and abiological molecular objects within time scales amenable to molecular dynamics (MD) simulations is often hampered by significant free energy barriers associated with entangled movements. Importance-sampling algorithms, a powerful class of numerical schemes for the investigation of rare events, have been widely used to extend simulations beyond the time scale common to MD. However, probing processes spanning milliseconds through microsecond molecular simulations still constitutes in practice a daunting challenge because of the difficulty of taming the ruggedness of multidimensional free energy surfaces by means of naive transition coordinates. To address this limitation, in recent years we have elaborated importance-sampling methods relying on an adaptive biasing force (ABF). In this Account, we review recent developments of algorithms aimed at mapping rugged free energy landscapes that correspond to complex processes of physical, chemical, and biological relevance. Through these developments, we have broadened the spectrum of applications of the popular ABF algorithm while improving its computational efficiency, notably for multidimensional free energy calculations. One major algorithmic advance, coined meta-eABF, merges the key features of metadynamics and an extended Lagrangian variant of ABF (eABF) by simultaneously shaving the barriers and flooding the valleys of the free energy landscape, and it possesses a convergence rate up to 5-fold greater than those of other importance-sampling algorithms. Through faster convergence and enhanced ergodic properties, meta-eABF represents a significant step forward in the simulation of millisecond-time-scale events. Here we introduce extensions of the algorithm, notably its well-tempered and replica-exchange variants, which further boost the sampling efficiency while gaining in numerical stability, thus allowing quantum-mechanical/molecular-mechanical free energy calculations to be performed at a lower cost. As a paradigm to bridge microsecond simulations to millisecond events by means of free energy calculations, we have applied the ABF family of algorithms to decompose complex movements in molecular objects of biological and abiological nature. We show here how water lubricates the shuttling of an amide-based rotaxane by altering the mechanism that underlies the concerted translation and isomerization of the macrocycle. Introducing novel collective variables in a computational workflow for the rigorous determination of standard binding free energies, we predict with utmost accuracy the thermodynamics of protein–ligand reversible association. Because of their simplicity, versatility, and robust mathematical foundations, the algorithms of the ABF family represent an appealing option for the theoretical investigation of a broad range of problems relevant to physics, chemistry, and biology.	3019.0
figshare	Nanoscale Relaxation in “Water-in-Salt” and “Water-in-Bisalt” Electrolytes	“Water-in-salt” (WIS) and “water-in-bisalt” (WIBS) electrolytes have recently been developed for Li-ion batteries, combining the safety and environmental friendliness of aqueous electrolytes with a larger operating window made possible by a solid-electrolyte interphase. We report quasielastic neutron scattering (QENS) measurements on solutions of a WIS electrolyte at two concentrations, 13.9 and 21 m (molal) lithium bis­(trifluoromethane)­sulfonimide LiTFSI in H2O/D2O and a WIBS electrolyte at (21 m LiTFSI + 7 m lithium triflate (LiOTf)) in H2O/D2O. The data were Fourier transformed to obtain experimental intermediate scattering functions (ISFs) and compared with corresponding quantities obtained from molecular dynamics (MD) simulations. Both QENS and MD ISFs could be fitted well by a single stretched exponential function to obtain apparent translational diffusion coefficients for the water molecules. The QENS values agree well with the MD simulations for the 13.9 and 21 m solutions, but MD simulations predict a slower relaxation of water compared to QENS for the WIBS electrolyte. Comparison of the incoherent and coherent scattering reveals much faster water dynamics compared with structural relaxation of the ionic framework, consistent with the nanodomain picture where the lithium diffusion occurs through the tortuous water domain around the slower relaxing ionic matrix, leading to highly non-Gaussian water motion.	1513.0
figshare	Molecular Dynamics-Derived Descriptor Informs the Impact of Mutation on the Catalytic Turnover Number in Lactonase Across Substrates	Molecular dynamics simulations have been extensively employed to reveal the roles of protein dynamics in mediating enzyme catalysis. However, simulation-derived predictive descriptors that inform the impacts of mutations on catalytic turnover numbers remain largely unexplored. In this work, we report the identification of molecular modeling-derived descriptors to predict mutation effect on the turnover number of lactonase SsoPox with both native and non-native substrates. The study consists of 10 enzyme–substrate complexes resulting from a combination of five enzyme variants with two substrates. For each complex, we derived 15 descriptors from molecular dynamics simulations and applied principal component analysis to rank the predictive capability of the descriptors. A top-ranked descriptor was identified, which is the solvent-accessible surface area (SASA) ratio of the substrate to the active site pocket. A uniform volcano-shaped plot was observed in the distribution of experimental activation free energy against the SASA ratio. To achieve efficient lactonase hydrolysis, a non-native substrate-bound enzyme variant needs to involve a similar range of the SASA ratio to the native substrate-bound wild-type enzyme. The descriptor reflects how well the enzyme active site pocket accommodates a substrate for reaction, which has the potential of guiding optimization of enzyme reaction turnover for non-native chemical transformations.	1582.0
figshare	TopoGromacs: Automated Topology Conversion from CHARMM to GROMACS within VMD	Molecular dynamics (MD) simulation engines use a variety of different approaches for modeling molecular systems with force fields that govern their dynamics and describe their topology. These different approaches introduce incompatibilities between engines, and previously published software bridges the gaps between many popular MD packages, such as between CHARMM and AMBER or GROMACS and LAMMPS. While there are many structure building tools available that generate topologies and structures in CHARMM format, only recently have mechanisms been developed to convert their results into GROMACS input. We present an approach to convert CHARMM-formatted topology and parameters into a format suitable for simulation with GROMACS by expanding the functionality of TopoTools, a plugin integrated within the widely used molecular visualization and analysis software VMD. The conversion process was diligently tested on a comprehensive set of biological molecules in vacuo. The resulting comparison between energy terms shows that the translation performed was lossless as the energies were unchanged for identical starting configurations. By applying the conversion process to conventional benchmark systems that mimic typical modestly sized MD systems, we explore the effect of the implementation choices made in CHARMM, NAMD, and GROMACS. The newly available automatic conversion capability breaks down barriers between simulation tools and user communities and allows users to easily compare simulation programs and leverage their unique features without the tedium of constructing a topology twice.	1675.0
figshare	TopoGromacs: Automated Topology Conversion from CHARMM to GROMACS within VMD	Molecular dynamics (MD) simulation engines use a variety of different approaches for modeling molecular systems with force fields that govern their dynamics and describe their topology. These different approaches introduce incompatibilities between engines, and previously published software bridges the gaps between many popular MD packages, such as between CHARMM and AMBER or GROMACS and LAMMPS. While there are many structure building tools available that generate topologies and structures in CHARMM format, only recently have mechanisms been developed to convert their results into GROMACS input. We present an approach to convert CHARMM-formatted topology and parameters into a format suitable for simulation with GROMACS by expanding the functionality of TopoTools, a plugin integrated within the widely used molecular visualization and analysis software VMD. The conversion process was diligently tested on a comprehensive set of biological molecules in vacuo. The resulting comparison between energy terms shows that the translation performed was lossless as the energies were unchanged for identical starting configurations. By applying the conversion process to conventional benchmark systems that mimic typical modestly sized MD systems, we explore the effect of the implementation choices made in CHARMM, NAMD, and GROMACS. The newly available automatic conversion capability breaks down barriers between simulation tools and user communities and allows users to easily compare simulation programs and leverage their unique features without the tedium of constructing a topology twice.	1675.0
figshare	Using NMR Chemical Shifts and Cryo-EM Density Restraints in Iterative Rosetta-MD Protein Structure Refinement	Cryo-EM has become one of the prime methods for protein structure elucidation, frequently yielding density maps with near-atomic or medium resolution. If protein structures cannot be deduced unambiguously from the density maps, computational structure refinement tools are needed to generate protein structural models. We have previously developed an iterative Rosetta-MDFF protocol that used cryo-EM densities to refine protein structures. Here we show that, in addition to cryo-EM densities, incorporation of other experimental restraints into the Rosetta-MDFF protocol further improved refined structures. We used NMR chemical shift (CS) data integrated with cryo-EM densities in our hybrid protocol in both the Rosetta step and the molecular dynamics (MD) simulations step. In 15 out of 18 cases for all MD rounds, the refinement results obtained when density maps and NMR chemical shift data were used in combination outperformed those of density map-only refinement. Notably, the improvement in refinement was highest when medium and low-resolution density maps were used. With our hybrid method, the RMSDs of final models obtained were always better than the RMSDs obtained by our previous protocol with just density refinement for both medium (6.9 Å) and low (9 Å) resolution maps. For all the six test proteins with medium resolution density maps (6.9 Å), the final refined structure RMSDs were lower for the hybrid method than for the cryo-EM only refinement. The final refined RMSDs were less than 1.5 Å when our hybrid protocol was used with 4 Å density maps. For four out of the six proteins the final RMSDs were even less than 1 Å. This study demonstrates that by using a combination of cryo-EM and NMR restraints, it is possible to refine structures to atomic resolution, outperforming single restraint refinement. This hybrid protocol will be a valuable tool when only low-resolution cryo-EM density data and NMR chemical shift data are available to refine structures.	2093.0
figshare	Acceptance and Kinetic Resolution of α-Methyl-Substituted Aldehydes by Norcoclaurine Synthases	Norcoclaurine synthase (NCS) catalyzes a stereoselective Pictet–Spengler reaction to give the key intermediate, (S)-norcoclaurine in benzylisoquinoline alkaloid biosynthesis. This family of alkaloids contains many bioactive molecules including morphine and berberine. Recently, NCS has been demonstrated to accept a variety of aldehydes and some ketones as substrates, leading to a range of chiral tetrahydroisoquinoline (THIQ) products. Here, we report the unusual acceptance of α-substituted aldehydes, in particular α-methyl-substituted aldehydes, by wild-type Thalictrum flavum NCS (Δ33TfNCS) to give THIQ products. Moreover, the kinetic resolution of several α-substituted aldehydes to give THIQs with two defined chiral centers in a single step with high conversions was achieved. Several dopamine analogues were also accepted as substrates, and reactions were amenable to scale up. Active site mutants of TfNCS were then used, which demonstrated the potential to enhance the stereoselectivities in the reaction and improve yields. The rationale for the acceptance of these substrates and improved activity with different mutants has been gained from a co-crystallized structure of Δ33TfNCS with a nonproductive mimic of a reaction intermediate bound in the active site. Finally, molecular dynamics simulations were performed to study the binding of dopamine and an α-substituted aldehyde and provided further insight into the reaction with these substrates.	1558.0
